sample,0,1,2,3
Training_1,0.0014285714285714286,0.7544404761904763,0.04419047619047618,0.19994047619047617
Training_2,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_3,0.9225,0.02333333333333333,0.05416666666666667,0.0
Training_4,0.0016666666666666666,0.7382261904761904,0.011666666666666665,0.2484404761904762
Training_5,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_6,0.011785714285714283,0.2726190476190476,0.3802619047619048,0.33533333333333326
Training_7,0.018190476190476187,0.23557936507936506,0.008666666666666666,0.7375634920634918
Training_8,0.003666666666666667,0.4034166666666668,0.018666666666666665,0.5742499999999999
Training_9,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_10,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_11,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_12,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_13,0.014178304526031235,0.9499369544555588,0.0,0.03588474101840981
Training_14,0.0,0.8109761904761903,0.020095238095238097,0.16892857142857143
Training_15,0.34430158730158733,0.047928571428571445,0.5152698412698413,0.09249999999999999
Training_16,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_17,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_18,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_19,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_20,0.4028809523809523,0.06464285714285714,0.45069047619047625,0.08178571428571431
Training_21,0.5492619047619048,0.28005952380952376,0.13567857142857143,0.035
Training_22,0.0,0.8282142857142858,0.048,0.12378571428571428
Training_23,0.0,0.9656785714285714,0.0,0.03432142857142857
Training_24,0.8904285714285717,0.026583333333333337,0.07655952380952381,0.006428571428571428
Training_25,0.9337142857142855,0.007833333333333333,0.009000000000000001,0.049452380952380956
Training_26,0.0,0.9656785714285714,0.0,0.03432142857142857
Training_27,0.0,0.97625,0.0,0.02375
Training_28,0.943,0.012833333333333332,0.009000000000000001,0.035166666666666666
Training_29,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_30,0.7959999999999999,0.04235714285714286,0.1486666666666667,0.012976190476190474
Training_31,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_32,0.8535952380952382,0.05288095238095238,0.09019047619047617,0.003333333333333333
Training_33,0.8149642857142858,0.08100000000000002,0.058916666666666666,0.04511904761904762
Training_34,0.005,0.7661111111111112,0.04659523809523809,0.18229365079365079
Training_35,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_36,0.9463333333333336,0.02075,0.027916666666666666,0.005
Training_37,0.7420952380952383,0.094,0.13997619047619048,0.023928571428571428
Training_38,0.021190476190476187,0.18807936507936507,0.0047619047619047615,0.7859682539682541
Training_39,0.017857142857142856,0.3436666666666667,0.01,0.6284761904761903
Training_40,0.8148928571428571,0.06514285714285714,0.10734523809523809,0.012619047619047618
Training_41,0.0,0.7783253968253967,0.024,0.1976746031746032
Training_42,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_43,0.0,0.7900952380952382,0.03876190476190476,0.17114285714285715
Training_44,0.93875,0.01908333333333333,0.027404761904761904,0.01476190476190476
Training_45,0.810047619047619,0.042833333333333334,0.07716666666666668,0.06995238095238095
Training_46,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_47,0.019385776699138536,0.9352735473972342,0.0,0.04534067590362696
Training_48,0.0,0.79625,0.0,0.20375
Training_49,0.7960396825396826,0.033166666666666664,0.1106031746031746,0.06019047619047618
Training_50,0.5461904761904762,0.030416666666666665,0.066,0.3573928571428571
Training_51,0.6088095238095239,0.04460714285714285,0.1714047619047619,0.17517857142857143
Training_52,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_53,0.2185396825396825,0.1497738095238095,0.5551269841269841,0.07655952380952381
Training_54,0.003804759537793827,0.97212116911567,0.0,0.02407407134653592
Training_55,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_56,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_57,0.0407142892986219,0.7491170841687738,0.016666666666666666,0.19350195986593766
Training_58,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_59,0.0,0.9656785714285714,0.0,0.03432142857142857
Training_60,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_61,0.7661666666666668,0.033916666666666664,0.13298809523809524,0.06692857142857143
Training_62,0.0,0.9756785714285714,0.0,0.02432142857142857
Training_63,0.22046825396825395,0.42260714285714285,0.2488174603174603,0.10810714285714287
Training_64,0.06521428571428572,0.1376904761904762,0.12592857142857145,0.6711666666666667
Training_65,0.7354563492063493,0.0695,0.10617460317460316,0.08886904761904763
Training_66,0.0,0.4561071428571431,0.01,0.533892857142857
Training_67,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_68,0.0057619047619047615,0.4132301587301588,0.08071428571428571,0.5002936507936508
Training_69,0.5032539682539683,0.07,0.31788888888888894,0.10885714285714287
Training_70,0.7563373015873016,0.051583333333333335,0.08746031746031747,0.10461904761904764
Training_71,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_72,0.0,0.5314642857142857,0.005,0.4635357142857143
Training_73,0.5427738095238095,0.05130952380952381,0.4044880952380953,0.0014285714285714286
Training_74,0.8517380952380953,0.04766666666666666,0.041095238095238094,0.05949999999999999
Training_75,0.0014285714285714286,0.33888095238095234,0.058190476190476195,0.6015
Training_76,0.8915833333333335,0.04166666666666668,0.06341666666666666,0.003333333333333333
Training_77,0.049305298563765615,0.8316254726618645,0.0,0.11906922877436946
Training_78,0.0,0.6779761904761904,0.01,0.3120238095238095
Training_79,0.8267261904761907,0.042595238095238096,0.09472619047619048,0.03595238095238095
Training_80,0.003333333333333333,0.7870555555555555,0.04026190476190476,0.16934920634920633
